iter	Passed	Remaining
0	140	140742
1	141	70621
2	142	47242
3	142	35548
4	143	28561
5	144	23872
6	144	20517
7	145	18005
8	145	16052
9	146	14487
10	146	13208
11	147	12143
12	148	11242
13	148	10473
14	149	9804
15	149	9216
16	150	8703
17	151	8247
18	151	7829
19	152	7459
20	152	7126
21	153	6820
22	153	6541
23	154	6283
24	155	6048
25	155	5828
26	156	5627
27	156	5436
28	157	5262
29	157	5099
30	158	4952
31	159	4811
32	159	4676
33	160	4550
34	160	4428
35	161	4315
36	161	4208
37	162	4106
38	162	4013
39	163	3923
40	164	3838
41	164	3756
42	165	3678
43	165	3604
44	166	3532
45	167	3463
46	167	3398
47	168	3336
48	168	3275
49	169	3216
50	169	3160
51	170	3107
52	170	3055
53	171	3004
54	172	2955
55	172	2909
56	173	2867
57	173	2825
58	174	2783
59	175	2743
60	175	2704
61	176	2668
62	177	2634
63	177	2603
64	178	2569
65	179	2537
66	179	2505
67	180	2477
68	181	2446
69	181	2417
70	182	2390
71	183	2363
72	183	2336
73	184	2311
74	185	2286
75	186	2261
76	186	2237
77	187	2212
78	187	2190
79	188	2168
80	189	2147
81	189	2126
82	190	2102
83	191	2083
84	191	2063
85	192	2045
86	193	2026
87	193	2008
88	194	1989
89	195	1972
90	195	1955
91	196	1939
92	197	1922
93	197	1907
94	198	1891
95	199	1875
96	199	1859
97	200	1843
98	200	1828
99	201	1814
100	202	1800
101	202	1785
102	203	1773
103	204	1760
104	204	1747
105	205	1735
106	206	1723
107	207	1710
108	207	1698
109	208	1685
110	208	1673
111	209	1661
112	210	1650
113	210	1638
114	211	1628
115	212	1617
116	212	1605
117	213	1595
118	214	1585
119	214	1575
120	215	1565
121	216	1555
122	216	1545
123	217	1535
124	218	1526
125	218	1517
126	219	1507
127	220	1499
128	220	1490
129	221	1481
130	222	1472
131	222	1464
132	223	1455
133	223	1446
134	224	1438
135	225	1430
136	225	1423
137	226	1415
138	227	1407
139	228	1400
140	228	1393
141	229	1385
142	229	1378
143	230	1370
144	231	1364
145	232	1357
146	232	1350
147	233	1344
148	234	1337
149	234	1330
150	235	1324
151	236	1317
152	236	1311
153	237	1304
154	238	1298
155	238	1292
156	239	1286
157	240	1281
158	241	1275
159	241	1269
160	242	1262
161	242	1256
162	243	1251
163	244	1245
164	244	1239
165	245	1234
166	246	1229
167	247	1223
168	247	1219
169	248	1213
170	249	1208
171	249	1203
172	250	1197
173	251	1192
174	251	1187
175	252	1182
176	253	1177
177	253	1171
178	254	1166
179	254	1161
180	255	1156
181	256	1152
182	256	1147
183	257	1142
184	258	1137
185	258	1132
186	259	1128
187	260	1123
188	260	1119
189	261	1114
190	262	1110
191	262	1105
192	263	1101
193	264	1097
194	264	1092
195	265	1088
196	265	1083
197	266	1080
198	267	1076
199	268	1072
200	268	1067
201	269	1063
202	270	1060
203	270	1057
204	271	1053
205	272	1049
206	272	1045
207	273	1041
208	274	1037
209	274	1034
210	275	1030
211	276	1026
212	277	1023
213	277	1020
214	278	1016
215	279	1013
216	279	1009
217	280	1005
218	281	1002
219	281	999
220	282	995
221	283	992
222	283	989
223	284	986
224	285	984
225	286	981
226	287	978
227	288	976
228	288	972
229	289	969
230	290	966
231	291	963
232	291	960
233	292	957
234	293	955
235	294	952
236	295	949
237	295	946
238	296	943
239	297	940
240	297	937
241	298	934
242	299	932
243	299	929
244	300	926
245	301	923
246	302	920
247	302	918
248	303	915
249	304	912
250	304	910
251	305	907
252	306	904
253	307	902
254	307	899
255	308	897
256	309	894
257	310	891
258	310	889
259	311	887
260	312	884
261	313	881
262	313	878
263	314	876
264	315	874
265	315	871
266	316	869
267	317	866
268	318	864
269	318	861
270	319	859
271	320	857
272	320	854
273	321	852
274	322	849
275	323	847
276	323	845
277	324	843
278	325	840
279	325	838
280	326	835
281	327	833
282	327	830
283	328	827
284	329	825
285	329	823
286	330	821
287	331	819
288	332	816
289	332	814
290	333	812
291	334	810
292	334	808
293	335	805
294	336	803
295	336	801
296	337	799
297	338	797
298	339	796
299	340	794
300	341	792
301	341	790
302	342	787
303	343	786
304	344	784
305	345	783
306	346	783
307	347	781
308	348	779
309	349	777
310	350	775
311	351	774
312	351	772
313	352	770
314	353	768
315	354	766
316	355	765
317	355	762
318	356	760
319	357	758
320	357	756
321	358	754
322	359	752
323	359	750
324	360	748
325	361	746
326	361	744
327	362	742
328	363	740
329	363	738
330	364	736
331	365	734
332	365	732
333	366	730
334	367	728
335	367	726
336	368	725
337	369	723
338	369	721
339	370	719
340	371	717
341	371	715
342	372	713
343	373	711
344	374	710
345	374	708
346	375	706
347	376	704
348	376	702
349	377	701
350	378	698
351	378	697
352	379	695
353	380	693
354	380	691
355	381	689
356	381	687
357	382	686
358	383	684
359	384	682
360	384	681
361	385	679
362	386	677
363	386	675
364	387	673
365	388	672
366	388	670
367	389	668
368	390	667
369	391	666
370	391	664
371	392	662
372	393	661
373	394	659
374	394	657
375	395	656
376	396	654
377	396	653
378	397	651
379	398	650
380	399	648
381	399	646
382	400	645
383	401	643
384	402	642
385	402	640
386	403	639
387	404	637
388	404	635
389	405	634
390	406	632
391	407	631
392	407	629
393	408	628
394	409	626
395	409	625
396	410	623
397	411	621
398	411	620
399	412	618
400	413	617
401	413	615
402	414	614
403	415	612
404	415	610
405	416	609
406	416	607
407	417	605
408	418	604
409	418	602
410	419	600
411	419	599
412	420	597
413	421	596
414	421	594
415	422	593
416	423	591
417	423	590
418	424	588
419	425	586
420	425	585
421	426	583
422	426	582
423	427	580
424	428	579
425	428	577
426	429	576
427	429	574
428	430	573
429	431	571
430	431	570
431	432	568
432	433	567
433	433	565
434	434	564
435	435	562
436	435	561
437	436	559
438	437	558
439	437	557
440	438	555
441	439	554
442	439	553
443	440	551
444	441	550
445	441	548
446	442	547
447	443	545
448	443	544
449	444	543
450	444	541
451	445	540
452	446	538
453	446	537
454	447	535
455	448	534
456	448	532
457	449	531
458	449	530
459	450	528
460	451	527
461	451	526
462	452	525
463	453	523
464	453	522
465	454	520
466	455	519
467	455	518
468	456	516
469	457	515
470	458	514
471	458	513
472	459	511
473	459	510
474	460	509
475	461	507
476	461	506
477	462	505
478	463	503
479	463	502
480	464	501
481	465	499
482	465	498
483	466	497
484	466	495
485	467	494
486	468	493
487	468	491
488	469	490
489	469	488
490	470	487
491	471	486
492	471	485
493	472	483
494	473	482
495	473	481
496	474	480
497	475	478
498	475	477
499	476	476
500	476	474
501	477	473
502	477	472
503	478	470
504	479	469
505	479	468
506	480	467
507	481	465
508	481	464
509	482	463
510	483	462
511	483	461
512	484	459
513	485	458
514	485	457
515	486	456
516	487	455
517	487	453
518	488	452
519	489	451
520	489	450
521	490	449
522	490	447
523	491	446
524	492	445
525	492	444
526	493	442
527	494	441
528	494	440
529	495	439
530	496	438
531	496	436
532	497	435
533	497	434
534	498	433
535	499	432
536	499	430
537	500	429
538	500	428
539	501	427
540	502	425
541	502	424
542	503	423
543	504	422
544	504	421
545	505	420
546	505	418
547	506	417
548	506	416
549	507	415
550	508	414
551	508	412
552	509	411
553	510	410
554	510	409
555	511	408
556	512	407
557	513	406
558	513	405
559	514	404
560	515	403
561	515	401
562	516	400
563	517	399
564	517	398
565	518	397
566	519	396
567	520	395
568	520	394
569	521	393
570	522	392
571	522	391
572	523	390
573	524	389
574	525	388
575	525	386
576	526	385
577	527	384
578	527	383
